source_uid,domain,release_id,source_split,source_id,raw_sha256,canonical_pixel_sha256,canonical_status,canonical_rejection_reason,independence_certified,group_id,study_split,primary_group_representative
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:000df88b-87aa-421d-8b9b-749d047f6f52,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,000df88b-87aa-421d-8b9b-749d047f6f52,0e0e46e0a571e1995ee24022b90f7bc153c8d0556a1f181da75d2fd4bb5d2806,e22caf9c011a778bacb1cba5cea0de9832d81031a93844d904e8d6eed50189d4,canonical_pass,,false,9d0600a448d225e246dd89e280249a57d3f2d0113273bca28a2ddd1298c9f1bf,validation,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:0030fd1c-a0f0-4733-b71f-31d6428e4c01,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0030fd1c-a0f0-4733-b71f-31d6428e4c01,7428415cf33440e11c2862a3ef0c1aa24e504e6b22d18dbe89de941404f98a58,6611caac6b0ada8bd167857c54abc81f157492419c903de774614abfbd1d2354,canonical_pass,,false,87fba9959a7736e55fadd6237bcc792e8827a559e06eab0c312037c4ba568288,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:014a135c-1a97-4143-acc2-c10261dcec25,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,014a135c-1a97-4143-acc2-c10261dcec25,6867ecf6968be50cb11108241ccf9f2c24d384754d05390ff7f06dc2ecdd3b63,db0f97dbb20672440e613c6faa1d1b4bdaddbe55028675e8ab7242e811919503,canonical_pass,,false,c8310e3c79e42cd0caba2f8655f887f16f78735ab26d53de1a32e6fb49a7970a,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:01567260-9078-41d5-8a83-92730babbcfe,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,01567260-9078-41d5-8a83-92730babbcfe,f0e4280069c35508ae8f944e7df66f9dda743a2014f6ea134c2671498b7ee280,913accad5bbfc094812144b5d4bd7dfc1b42086105c0a61813f9f0fca2735405,canonical_pass,,false,5cc385c85a7c478a3d9e8d43ea40c5f4bd770b74235442aef3019e0ece5f89f8,development,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:02a854f2-67b1-4917-a12d-68f4c6d3ffdb,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,02a854f2-67b1-4917-a12d-68f4c6d3ffdb,39d46eaa75ba30de5c89a2cd2aeb883a4046f1dad1be2f9d74e8039416f35229,5e3d87e81be0b97632087eb042213b11060f87f2ad047200bdd83c65d58c128d,canonical_pass,,false,38738726e4198f0895a3f3955ff4b1b6f368f5571bc76f3b6b5f3bf5a33d0c55,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:031f0593-6d8c-4886-9f97-a32cd04d6dd9,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,031f0593-6d8c-4886-9f97-a32cd04d6dd9,66eae20c25ceeac2c6b78c09227480d27dc384751d2401cb95fb85a6410c3b71,76d72df6fd9bb2f09ffa4cb1dc54f9aaadb5c4c282a014ecacc29a32c24d6d90,canonical_pass,,false,87fba9959a7736e55fadd6237bcc792e8827a559e06eab0c312037c4ba568288,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:05246e42-c806-45c3-9b16-f5e51d03ed02,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05246e42-c806-45c3-9b16-f5e51d03ed02,e215a2af6441ded638d58c1746a4575b89bb35bd59872a89fcd07b7f374b7cfc,9ea4918605ab258b0bea1e49131bb118c7dc22b971e9cb2189e7674791a787fd,canonical_pass,,false,6005593aad2453e12f982aa7294b827aae558cdcb4c81b34f1d63d5d94c89314,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:05a1191c-3fa5-4ccb-b65a-e5bd8e650ecc,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05a1191c-3fa5-4ccb-b65a-e5bd8e650ecc,d15e30cdd81d49c77e37201f64992784781b4a9ee14f9e5d7bfb0b380462dba8,22f401236fb4fa29f12245eb5758fb276341d184ea60f4c7415b61a3c8a6abe1,canonical_pass,,false,5a2b91ed19711f1803ab5e6a15418d091bb4296dfcecabc24cb0f3b24071f6ef,validation,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:05b95801-d2f5-4fc0-8990-45e7065e878a,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05b95801-d2f5-4fc0-8990-45e7065e878a,befeb1fb2e159ff455f2c94572f473284b879f9269c2cb2b02b35ba75527e6b4,6ee594f8dae75b573dd06fc515dab3061b3d2a2e540959df0c3faabfc5d36be0,canonical_pass,,false,4bd51058d1e9b06f98da459a8c2a50d503ff3b9c74b44529504fd4279120b9dc,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:06fb21a5-2a1c-4b0f-9493-32c855e067d2,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,06fb21a5-2a1c-4b0f-9493-32c855e067d2,0ac32f4f3824cba49b9cd0378527ea6e8ee71f21b964c8932993cd3e34e06530,63ed0b6bb454fad1fadcd5102235d5dfc062389f397094774defa8c721e95f6b,canonical_pass,,false,59cb422889788d35b23c52e4a583d6e8ee6e45e875039410886a38977ad92219,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:08613cd2-a546-416d-bf13-9cb1c5e72f7f,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,08613cd2-a546-416d-bf13-9cb1c5e72f7f,7a2dc3a096192aaf8eef14a80ddf175f682ec43c61ee32ed01d9ab35b8a9ca31,0006ec692caa1ec2259c22d7bed4fe18f5eea86f525ddd590f41b31538426cb1,canonical_pass,,false,c98e5d33cff665a053e2ae024cdc81b0b9cfeb650edde973e21d4d6879aa9b91,validation,true
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:0a05792e-b57e-4903-8c5b-1e11690a2e9b,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0a05792e-b57e-4903-8c5b-1e11690a2e9b,b98d4e2fa3abb08b880a503b24cef56b0dbe694ddda003ddb5d5b8da3f815efa,308809a8ab76db5ac7b143889e374d198195cb13087f7fcd1e3114da9f38ddf1,canonical_pass,,false,8457352ecd042bc0353c7c08ef39cfffa74871602407e73f6c4b14738a760a32,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:0b4327df-6110-4d60-95dc-68a77be85c13,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0b4327df-6110-4d60-95dc-68a77be85c13,5dc26ab0f99defde1c0618c5a468266ebe388bd06eca296eee993a58a4128731,feefd9c85a121c923df554cad862856f159559085dd189976fd1b90fb4a529e9,canonical_pass,,false,8457352ecd042bc0353c7c08ef39cfffa74871602407e73f6c4b14738a760a32,test,true
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:0ba5a2f5-8a44-4050-a975-08cd5d675a3d,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0ba5a2f5-8a44-4050-a975-08cd5d675a3d,d5055d2948d070ec06d66742ed752d0c119adfeace5f95f5a15469d25651b5fc,9313e6be1b3649e47268ff13ea6675c951aa46f234c8ed49f4c29ea28e4c1343,canonical_pass,,false,12a970a114d7dcc001e37065eecbaf0ac1c1156c3d4876dcd64470fc4d802045,test,false
diffusiondb:diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f:part-000268:0c55976c-7963-479f-82eb-a3266f2f5ed2,diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0c55976c-7963-479f-82eb-a3266f2f5ed2,fa6fa177586491c651607148febd87c233eb7240a21eeb0a57d1ccb645b3a648,f2188f7c9d7bd8ec9a3c6e83b5f36e3b878834cceee2394e7fd7930dff028c27,canonical_pass,,false,4bd51058d1e9b06f98da459a8c2a50d503ff3b9c74b44529504fd4279120b9dc,test,false
